2025-08-29T12:44:24.278210: Failed to download video 108: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/108', '-o', 'fcva_videos/videos/video_108.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:44:26.829018: Failed to download video 109: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/109', '-o', 'fcva_videos/videos/video_109.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:44:28.998381: Failed to download video 110: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/110', '-o', 'fcva_videos/videos/video_110.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:44:32.206153: Failed to download video 111: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/111', '-o', 'fcva_videos/videos/video_111.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:44:34.574895: Failed to download video 112: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/112', '-o', 'fcva_videos/videos/video_112.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:44:36.831578: Failed to download video 113: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/113', '-o', 'fcva_videos/videos/video_113.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:44:39.318802: Failed to download video 114: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/114', '-o', 'fcva_videos/videos/video_114.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:44:42.806902: Failed to download video 115: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/115', '-o', 'fcva_videos/videos/video_115.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:44:45.135227: Failed to download video 116: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/116', '-o', 'fcva_videos/videos/video_116.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:06.264286: Failed to download video 117: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/117', '-o', 'fcva_videos/videos/video_117.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:12.221826: Failed to download video 118: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/118', '-o', 'fcva_videos/videos/video_118.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:14.578608: Failed to download video 119: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/119', '-o', 'fcva_videos/videos/video_119.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:16.918453: Failed to download video 120: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/120', '-o', 'fcva_videos/videos/video_120.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:19.025012: Failed to download video 121: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/121', '-o', 'fcva_videos/videos/video_121.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:21.147850: Failed to download video 122: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/122', '-o', 'fcva_videos/videos/video_122.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:23.319333: Failed to download video 123: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/123', '-o', 'fcva_videos/videos/video_123.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:25.412985: Failed to download video 124: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/124', '-o', 'fcva_videos/videos/video_124.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:27.716292: Failed to download video 126: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/126', '-o', 'fcva_videos/videos/video_126.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:29.806105: Failed to download video 127: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/127', '-o', 'fcva_videos/videos/video_127.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:32.244713: Failed to download video 128: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/128', '-o', 'fcva_videos/videos/video_128.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:34.542280: Failed to download video 129: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/129', '-o', 'fcva_videos/videos/video_129.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:36.677649: Failed to download video 130: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/130', '-o', 'fcva_videos/videos/video_130.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:38.703490: Failed to download video 131: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/131', '-o', 'fcva_videos/videos/video_131.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:40.854438: Failed to download video 132: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/132', '-o', 'fcva_videos/videos/video_132.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:43.690620: Failed to download video 133: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/133', '-o', 'fcva_videos/videos/video_133.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:45.776903: Failed to download video 134: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/134', '-o', 'fcva_videos/videos/video_134.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:47.796193: Failed to download video 135: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/135', '-o', 'fcva_videos/videos/video_135.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:49.872465: Failed to download video 136: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/136', '-o', 'fcva_videos/videos/video_136.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:51.697230: Failed to download video 137: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/137', '-o', 'fcva_videos/videos/video_137.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:53.440300: Failed to download video 142: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/142', '-o', 'fcva_videos/videos/video_142.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:55.192189: Failed to download video 145: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/145', '-o', 'fcva_videos/videos/video_145.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:56.952535: Failed to download video 146: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/146', '-o', 'fcva_videos/videos/video_146.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:45:58.740633: Failed to download video 147: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/147', '-o', 'fcva_videos/videos/video_147.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:01.544508: Failed to download video 148: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/148', '-o', 'fcva_videos/videos/video_148.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:03.316510: Failed to download video 149: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/149', '-o', 'fcva_videos/videos/video_149.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:06.758636: Failed to download video 150: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/150', '-o', 'fcva_videos/videos/video_150.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:09.423858: Failed to download video 151: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/151', '-o', 'fcva_videos/videos/video_151.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:11.396812: Failed to download video 153: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/153', '-o', 'fcva_videos/videos/video_153.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:13.982890: Failed to download video 155: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/155', '-o', 'fcva_videos/videos/video_155.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
